Time(ms),Force1(Lbs)
0,19.64
500,15.13
1000,13.85
1500,13.27
2000,12.77
2500,12.99
3000,12.66
3500,11.91
4000,11.96
4500,11.70
5000,11.96
5500,12.07
6000,11.91
6500,11.70
7000,11.80
7500,11.80
8000,11.80
8500,12.12
9000,12.12
9500,11.86
10000,11.65
10500,11.65
11000,11.54
11500,11.54
12000,11.54
12500,11.39
13000,11.44
13500,11.60
14000,11.60
14500,11.60
15000,11.65
15500,11.65
16000,11.60
16500,11.49
17000,11.49
17500,11.54
18000,11.60
18500,11.44
19000,11.24
19500,11.19
20000,11.14
20500,11.24
21000,11.29
21500,11.34
22000,12.12
22500,11.44
23000,11.24
23500,11.09
24000,11.14
24500,11.09
25000,11.04
25500,11.19
26000,11.14
26500,11.19
27000,11.19
27500,11.19
28000,11.24
28500,11.34
29000,11.09
29500,11.09
30000,11.24
30500,11.19
31000,11.19
31500,11.19
32000,10.60
32500,10.79
33000,11.04
33500,11.09
34000,11.14
34500,11.14
35000,11.14
35500,11.09
36000,11.09
36500,11.24
37000,11.19
37500,11.14
38000,11.09
38500,11.14
39000,11.14
39500,11.14
40000,11.14
40500,11.14
41000,11.14
41500,11.09
42000,11.14
42500,11.14
43000,11.14
43500,11.19
44000,11.19
44500,11.19
45000,11.19
45500,11.19
46000,11.19
46500,11.19
47000,11.19
47500,11.19
48000,11.14
48500,11.14
49000,11.14
49500,11.09
50000,11.09
50500,11.09
51000,11.19
51500,11.14
52000,11.19
52500,11.14
53000,11.14
53500,11.29
54000,11.09
54500,11.14
55000,11.14
55500,11.14
56000,11.14
56500,11.14
57000,11.14
57500,11.14
58000,11.14
58500,11.14
59000,11.14
59500,11.14
60000,11.09
60500,11.14
61000,11.14
61500,11.09
62000,11.09
62500,11.09
63000,11.09
63500,11.14
64000,11.14
64500,11.14
65000,11.14
65500,11.14
66000,11.14
66500,11.09
67000,11.09
67500,11.14
68000,11.09
68500,11.09
69000,11.09
69500,11.09
70000,11.09
70500,11.09
71000,11.09
71500,11.09
72000,11.09
72500,11.09
73000,11.09
73500,11.09
74000,11.09
74500,11.09
75000,11.09
75500,11.09
76000,11.09
76500,11.14
77000,11.09
77500,11.09
78000,11.09
78500,11.09
79000,11.09
79500,11.09
80000,11.04
80500,11.04
81000,11.09
81500,11.09
82000,11.09
82500,11.09
83000,11.09
83500,11.09
84000,11.09
84500,11.09
85000,11.09
85500,11.09
86000,11.09
86500,11.09
87000,11.09
87500,11.09
88000,11.09
88500,11.09
89000,11.09
89500,11.09
90000,11.09
90500,11.04
91000,11.09
91500,11.09
92000,11.04
92500,11.04
93000,11.04
93500,11.09
94000,11.09
94500,11.09
95000,11.09
95500,11.09
96000,11.09
96500,11.09
97000,11.09
97500,11.04
98000,11.04
98500,11.04
99000,11.04
99500,11.04
100000,11.04
100500,11.04
101000,11.04
101500,11.09
102000,11.09
102500,11.04
103000,10.99
103500,10.99
104000,11.54
104500,11.54
105000,11.39
105500,11.19
106000,11.09
106500,11.04
107000,11.04
107500,11.04
108000,11.04
108500,11.04
109000,11.04
109500,11.04
110000,11.04
110500,11.04
111000,10.99
111500,10.99
112000,10.99
112500,11.04
113000,11.04
113500,11.04
114000,11.04
114500,10.99
115000,10.99
115500,10.99
116000,10.99
116500,11.04
117000,11.04
117500,11.04
118000,11.04
118500,11.04
119000,11.04
119500,11.04
120000,10.99
120500,10.99
121000,10.99
121500,11.04
122000,11.04
122500,11.04
123000,11.04
123500,11.04
124000,10.99
124500,10.99
125000,10.99
125500,10.99
126000,10.99
126500,11.04
127000,11.04
127500,11.04
128000,10.99
128500,10.99
129000,11.04
129500,11.04
130000,11.04
130500,11.04
131000,11.04
131500,11.04
132000,10.99
132500,10.99
133000,10.99
133500,10.99
134000,10.99
134500,10.99
135000,11.04
135500,11.04
136000,11.04
136500,11.04
137000,11.04
137500,11.04
138000,10.99
138500,10.99
139000,11.04
139500,11.04
140000,11.04
140500,10.99
141000,10.99
141500,10.99
142000,10.99
142500,10.99
143000,10.99
143500,11.04
144000,11.04
144500,11.04
145000,11.04
145500,10.94
146000,11.04
146500,11.04
147000,10.99
147500,10.99
148000,10.99
148500,10.99
149000,10.99
149500,10.99
150000,10.99
150500,10.99
151000,10.99
151500,10.99
152000,11.04
152500,11.04
153000,10.99
153500,10.99
154000,10.94
154500,10.94
155000,10.94
155500,10.94
156000,10.99
156500,10.99
157000,10.99
157500,10.99
158000,10.99
158500,10.99
159000,10.99
159500,10.99
160000,10.99
160500,10.99
161000,10.99
161500,10.99
162000,10.99
162500,10.99
163000,10.99
163500,10.99
164000,10.99
164500,11.04
165000,10.99
165500,10.99
166000,10.99
